date,totalconfirmed,totaldeceased,totalrecovered,dailyconfirmed,dailydeceased,dailyrecovered
30 January ,1,0,0,1,0,0
31 January ,1,0,0,0,0,0
01 February ,1,0,0,0,0,0
02 February ,2,0,0,1,0,0
03 February ,3,0,0,1,0,0
04 February ,3,0,0,0,0,0
05 February ,3,0,0,0,0,0
06 February ,3,0,0,0,0,0
07 February ,3,0,0,0,0,0
08 February ,3,0,0,0,0,0
09 February ,3,0,0,0,0,0
10 February ,3,0,0,0,0,0
11 February ,3,0,0,0,0,0
12 February ,3,0,0,0,0,0
13 February ,3,0,1,0,0,1
14 February ,3,0,1,0,0,0
15 February ,3,0,1,0,0,0
16 February ,3,0,2,0,0,1
17 February ,3,0,2,0,0,0
18 February ,3,0,2,0,0,0
19 February ,3,0,2,0,0,0
20 February ,3,0,3,0,0,1
21 February ,3,0,3,0,0,0
22 February ,3,0,3,0,0,0
23 February ,3,0,3,0,0,0
24 February ,3,0,3,0,0,0
25 February ,3,0,3,0,0,0
26 February ,3,0,3,0,0,0
27 February ,3,0,3,0,0,0
28 February ,3,0,3,0,0,0
29 February ,3,0,3,0,0,0
01 March ,3,0,3,0,0,0
02 March ,5,0,3,2,0,0
03 March ,6,0,3,1,0,0
04 March ,28,0,3,22,0,0
05 March ,30,0,3,2,0,0
06 March ,31,0,3,1,0,0
07 March ,34,0,3,3,0,0
08 March ,39,0,3,5,0,0
09 March ,48,0,3,9,0,0
10 March ,63,0,4,15,0,1
11 March ,71,0,4,8,0,0
12 March ,81,1,4,10,1,0
13 March ,91,1,10,10,0,6
14 March ,102,2,10,11,1,0
15 March ,112,2,13,10,0,3
16 March ,126,2,14,14,0,1
17 March ,146,3,15,20,1,1
18 March ,171,3,15,25,0,0
19 March ,198,4,20,27,1,5
20 March ,256,4,23,58,0,3
21 March ,334,4,23,78,0,0
22 March ,403,7,23,69,3,0
23 March ,497,9,25,94,2,2
24 March ,571,10,40,74,1,15
25 March ,657,11,43,86,1,3
26 March ,730,16,50,73,5,7
27 March ,883,19,75,153,3,25
28 March ,1019,24,85,136,5,10
29 March ,1139,27,102,120,3,17
30 March ,1326,41,137,187,14,35
31 March ,1635,47,150,309,6,13
01 April ,2059,53,169,424,6,19
02 April ,2545,69,191,486,16,22
03 April ,3105,83,230,560,14,39
04 April ,3684,96,286,579,13,56
05 April ,4293,118,329,609,22,43
06 April ,4777,134,394,484,16,65
07 April ,5350,161,469,573,27,75
08 April ,5915,181,565,565,20,96
09 April ,6728,227,635,813,46,70
10 April ,7599,249,786,871,22,151
11 April ,8453,290,972,854,41,186
12 April ,9211,332,1086,758,42,114
13 April ,10454,359,1198,1243,27,112
14 April ,11485,396,1365,1031,37,167
15 April ,12371,423,1509,886,27,144
16 April ,13432,449,1767,1061,26,258
17 April ,14354,487,2040,922,38,273
18 April ,15725,522,2466,1371,35,426
19 April ,17305,560,2854,1580,38,388
20 April ,18544,593,3273,1239,33,419
21 April ,20081,646,3976,1537,53,703
22 April ,21373,682,4370,1292,36,394
23 April ,23040,722,5012,1667,40,642
24 April ,24448,781,5496,1408,59,484
25 April ,26283,825,5938,1835,44,442
26 April ,27890,881,6523,1607,56,585
27 April ,29458,939,7103,1568,58,580
28 April ,31360,1008,7739,1902,69,636
29 April ,33065,1079,8429,1705,71,690
30 April ,34866,1154,9059,1801,75,630
01 May ,37262,1231,10021,2396,77,962
02 May ,39826,1323,10852,2564,92,831
03 May ,42778,1463,11763,2952,140,911
04 May ,46434,1566,12845,3656,103,1082
05 May ,49405,1694,14140,2971,128,1295
06 May ,53007,1785,15301,3602,91,1161
07 May ,56351,1889,16776,3344,104,1475
08 May ,59690,1986,17887,3339,97,1111
09 May ,62865,2101,19301,3175,115,1414
10 May ,67176,2213,20970,4311,112,1669
11 May ,70768,2294,22549,3592,81,1579
12 May ,74330,2414,24454,3562,120,1905
13 May ,78056,2551,26417,3726,137,1963
14 May ,82047,2648,28011,3991,97,1594
15 May ,85855,2752,30245,3808,104,2234
16 May ,90649,2872,34257,4794,120,4012
17 May ,95698,3024,36795,5049,152,2538
18 May ,100326,3155,39277,4628,131,2482
19 May ,106480,3301,42309,6154,146,3032
20 May ,112196,3435,45422,5716,134,3113
21 May ,118225,3583,48553,6029,148,3131
